time_s,r1_x_km,r1_y_km,r1_z_km,r2_x_km,r2_y_km,r2_z_km,distance_km
500.0,3159.486051085622,5566.9861642942205,-2818.2031966255718,1707.1166594928686,5513.540881814471,-3951.277842433257,1842.8487189205348
505.0,3131.6435732184127,5569.851481990517,-2843.552689525731,1675.8893665708686,5508.359726978248,-3971.862528698495,1842.8468843831217
510.0,3103.709879648694,5572.554566055421,-2868.819357978067,1644.6132749539172,5503.018179240864,-3992.3315619238783,1842.8450513643909
515.0,3075.685784766377,5575.095339124743,-2894.002466742445,1613.2892958546697,5497.516395853465,-4012.684347334863,1842.8432199148592
520.0,3047.572105587387,5577.4737285752635,-2919.1012830312206,1581.9183418636967,5491.8545387399545,-4032.920293562131,1842.8413900836745
525.0,3019.3696617296087,5579.689666526706,-2944.115076530666,1550.5013269226883,5486.0327744920505,-4053.0388126587713,1842.8395619186065
530.0,2991.079275388737,5581.743089843564,-2969.0431194223142,1519.039166297603,5480.0512743642,-4073.039320117366,1842.8377354660493
535.0,2962.7017713140553,5583.633940136795,-2993.8846864042375,1487.5327765517777,5473.910214268358,-4092.921234886975,1842.8359107710187
540.0,2934.23797678415,5585.362163765361,-3018.639054712242,1455.983075519014,5467.609774768618,-4112.6839793900135,1842.8340878771555
545.0,2905.688721582535,5586.927711837643,-3043.3055041409893,1424.3909822766182,5461.150141075733,-4132.326979539029,1842.8322668267208
550.0,2877.0548379732313,5588.330540212704,-3067.8833170650337,1392.7574171184087,5454.5315030414595,-4151.849664753364,1842.830447660611
555.0,2848.3371606762294,5589.570609501412,-3092.371778459804,1361.083301527707,5447.75405515281,-4171.251467975729,1842.82863041832
560.0,2819.536526842933,5590.64788506743,-3116.770175922471,1329.3695581502543,5440.817996526124,-4190.531825688659,1842.8268151379918
565.0,2790.653776031496,5591.562337028055,-3141.077799692765,1297.6171107671528,5433.723530901042,-4209.690177930863,1842.8250018563765
570.0,2761.689750182106,5592.31394025492,-3165.293942673702,1265.8268842677232,5426.470866634316,-4228.725968313475,1842.8231906088631
575.0,2732.645293592186,5592.9026743745635,-3189.4179004522334,1233.9998046223689,5419.060216693497,-4247.638644036192,1842.8213814294545
580.0,2703.5212528915517,5593.328523768843,-3213.4489713198063,1202.13679885539,5411.491798650487,-4266.427655903303,1842.8195743507893
585.0,2674.3184770174666,5593.5914775752135,-3237.386456292856,1170.2387950177742,5403.765834674949,-4285.09245833962,1842.8177694041285
590.0,2645.037817189674,5593.691529686874,-3261.2296591331983,1138.3067221599704,5395.882551527584,-4303.632509406284,1842.8159666193708
595.0,2615.6801268853183,5593.62867875276,-3284.977886368361,1106.3415103046075,5387.842180553276,-4322.04727081648,1842.8141660250444
600.0,2586.2462618138375,5593.402928177404,-3308.6304473118107,1074.344090419231,5379.644957674108,-4340.3362079510325,1842.8123676483099
605.0,2556.7370798917646,5593.014286120647,-3332.186654083108,1042.3153943889645,5371.291123382223,-4358.498789873887,1842.8105715149625
610.0,2527.1534412174956,5592.462765497225,-3355.645821627974,1010.2563549891873,5362.780922732571,-4376.534489347494,1842.8087776494433
615.0,2497.4962080459545,5591.748383976189,-3379.007267738279,978.1679058581615,5354.114605335516,-4394.442782848076,1842.806986074826
620.0,2467.766244763238,5590.871163980213,-3402.2703130719287,946.0509814696553,5345.292425349304,-4412.223150580774,1842.8051968128304
625.0,2437.96441786117,5589.831132684737,-3425.4342811726765,913.9065171055239,5336.314641472404,-4429.875076494707,1842.8034098838307
630.0,2408.0915959118106,5588.62832201699,-3448.4984984898533,881.7354488282946,5327.18151693571,-4447.398048297887,1842.8016253068415
635.0,2378.1486495419017,5587.262768654854,-3471.4622943979953,849.5387134537111,5317.89331949462,-4464.791557472052,1842.799843099537
640.0,2348.1364514072434,5585.7345140255975,-3494.325001216394,817.3172485232554,5308.450321420965,-4482.055099287366,1842.7980632782483
645.0,2318.055876167034,5584.043604304472,-3517.085954228556,785.0719922766792,5298.852799494827,-4499.188172817015,1842.7962858579626
650.0,2287.9078004581397,5582.190090413155,-3539.744491701567,752.803883624483,5289.101034996202,-4516.190280951682,1842.7945108523406
655.0,2257.693102869297,5580.174028018074,-3562.2999549053807,720.5138621204036,5279.195313696551,-4533.060930413923,1842.7927382736991
660.0,2227.4126639152855,5577.995477528554,-3584.7516881319953,688.2028679338697,5269.135925850211,-4549.799631772409,1842.7909681330357
665.0,2197.067366011027,5575.654504094875,-3607.099038714561,655.8718418224478,5258.923166185666,-4566.4058994560655,1842.789200440025
670.0,2166.6580934456333,5573.151177606141,-3629.34135704638,623.5217251042756,5248.557333896707,-4582.879251768099,1842.787435203026
675.0,2136.185732356402,5570.4855726880405,-3651.4779965998277,591.1534596304799,5238.038732633439,-4599.219210899889,1842.7856724290732
680.0,2105.651170702771,5567.657768700454,-3673.508313945162,558.767987757578,5227.367670493177,-4615.4253029447955,1842.783912123911
685.0,2075.0552982401928,5564.667849734926,-3695.431668769269,526.3662523198724,5216.544460011193,-4631.497057911818,1842.7821542919623
690.0,2044.3990064939946,5561.515904611991,-3717.2474238942787,493.94919660183183,5205.569418151355,-4647.43400973916,1842.7803989363656
695.0,2013.6831887331614,5558.202026878371,-3738.9549452961173,461.51776431046386,5194.442866296614,-4663.235696307657,1842.7786460589598
700.0,1982.908739944074,5554.726314804024,-3760.5536021229514,429.0728995476699,5183.165130239375,-4678.901659454115,1842.7768956602986
705.0,1952.0765568042152,5551.0888713790555,-3782.042766713529,396.6155467826016,5171.736540171738,-4694.431444984501,1842.7751477396625
710.0,1921.1875376558025,5547.289804310491,-3803.421814615445,364.1466508240072,5160.157430675608,-4709.824602687027,1842.7734022950463
715.0,1890.2425824793972,5543.329226018911,-3824.69012460329,331.66715679256123,5148.428140712674,-4725.080686345129,1842.771659323187
720.0,1859.2425928674504,5539.207253634949,-3845.8470786967173,299.1780100932049,5136.549013614265,-4740.199253750298,1842.7699188195488
725.0,1828.188471997816,5534.924008995639,-3866.8920621784005,266.6801563874616,5124.520397071078,-4755.179866714825,1842.7681807783508
730.0,1797.0811246072128,5530.47961864064,-3887.8244636118984,234.1745415657664,5112.342643122772,-4770.022091084391,1842.7664451925575
735.0,1765.9214569646467,5525.8742138083135,-3908.643674859424,201.66211171977625,5100.016108147445,-4784.72549675057,1842.7647120538973
740.0,1734.7103768447791,5521.107930431658,-3929.3490910995138,169.14381311468446,5087.5411528509785,-4799.289657663187,1842.7629813528588
745.0,1703.4487935012735,5516.1809091341165,-3949.940110844585,136.62059216153858,5074.918142256251,-4813.7141518425715,1842.761253078708
750.0,1672.1376176400802,5511.093295225238,-3970.416135958416,104.09339538954119,5062.147445692235,-4827.998561391674,1842.7595272194897
755.0,1640.7777613926921,5505.8452386962035,-3990.7765716735075,71.56316941836644,5049.229436782965,-4842.142472508081,1842.757803762036
760.0,1609.3701382893582,5500.43689421521,-4011.020826608344,39.03086093046786,5036.164493436382,-4856.145475495889,1842.756082691975
765.0,1577.9156632322631,5494.868421122726,-4031.1483127845645,6.497416643387846,5022.952997833039,-4870.007164777464,1842.7543639937433
770.0,1546.4152524686538,5489.139983426598,-4051.15844564402,-26.036216717925058,5009.595336414708,-4883.727138905084,1842.7526476505802
775.0,1514.8698235639524,5483.251749797031,-4071.050644065735,-58.569092448805605,4996.091899872836,-4897.305000572452,1842.7509336445596
780.0,1483.2802953747985,5477.203893561421,-4090.824330382768,-91.10026389254874,4982.443083136898,-4910.740356626084,1842.7492219565647
785.0,1451.6475880221028,5470.99659269906,-4110.478930398955,-123.62878446808668,4968.649285362615,-4924.03281807658,1842.7475125663325
790.0,1419.972622864023,5464.630029835696,-4130.013873405561,-156.15370769766167,4954.710909920049,-4937.182000109769,1842.7458054524425
795.0,1388.2563224689254,5458.104392237965,-4149.428592197831,-188.6740872344788,4940.628364381586,-4950.187522097724,1842.744100592316
800.0,1356.4996105883145,5451.419871807677,-4168.72252309142,-221.1889768903965,4926.402060509777,-4963.0490076096685,1842.7423979622672
805.0,1324.7034121297243,5444.576665075973,-4187.895105938733,-253.69743066353467,4912.032414245076,-4975.766084422732,1842.7406975374604
810.0,1292.868653129579,5437.574973197342,-4206.945784145148,-286.1985027659432,4897.519845693457,-4988.33838453261,1842.7389992919484
815.0,1260.9962607260263,5430.415001943507,-4225.874004685139,-318.69124765122535,4882.864779113888,-5000.765544164078,1842.7373031986776
820.0,1229.0871631317414,5423.096961697169,-4244.679218118293,-351.17472004216154,4868.0676429057075,-5013.047203781387,1842.7356092294967
825.0,1197.1422896066917,5415.62106744562,-4263.360878605213,-383.64797495832465,4853.128869595867,-5025.183008098537,1842.7339173551682
830.0,1165.1625704308906,5407.987538774215,-4281.918443923317,-416.1100677436694,4838.048895826067,-5037.172606089417,1842.7322275453719
835.0,1133.14893687711,5400.196599859724,-4300.351375482531,-448.5600540941289,4822.82816233975,-5049.015650997822,1842.730539768728
840.0,1101.1023211835684,5392.248479463526,-4318.659138340871,-480.9969900851834,4807.467113969003,-5060.711800347344,1842.7288539927924
845.0,1069.0236565265977,5384.14341092469,-4336.841201219919,-513.4199321994172,4791.9661996213235,-5072.260715951138,1842.7271701840734
850.0,1036.9138769932902,5375.881632152913,-4354.897036520176,-545.8279373540657,4776.325872266268,-5083.662063921553,1842.7254883080507
855.0,1004.7739175541002,5367.463385621314,-4372.826120336325,-578.2200629285461,4760.546588921988,-5094.91551467965,1842.7238083291738
860.0,972.6047140354507,5358.888918359116,-4390.627932472374,-610.5953667919604,4744.62881064165,-5106.020742964572,1842.7221302108792
865.0,940.4072030922883,5350.158481944178,-4408.30195645668,-642.9529073305947,4728.573002499728,-5116.977427842805,1842.720453915595
870.0,908.1823221806513,5341.272332495395,-4425.8476795568795,-675.2917434753914,4712.379633578198,-5127.7852527173,1842.7187794047616
875.0,875.9310095301796,5332.230730664974,-4443.2645927946905,-707.6109347294133,4696.049176952586,-5138.443905336472,1842.7171066388414
880.0,843.6542041166311,5323.033941630564,-4460.552190960611,-739.9095411952682,4679.582109677939,-5148.953077803069,1842.7154355773228
885.0,811.3528456343686,5313.68223508727,-4477.709972628505,-772.1866236025323,4662.978912774655,-5159.312466582906,1842.7137661787356
890.0,779.0278744688284,5304.175885239518,-4494.737440170073,-804.4412433351417,4646.240071214194,-5169.521772513481,1842.7120984006665
895.0,746.6802316689821,5294.5151707928,-4511.634099769206,-836.6724624587574,4629.366073904702,-5179.580700812448,1842.710432199765
900.0,714.3108589197614,5284.700374945278,-4528.399461436233,-868.8793437481318,4612.357413676489,-5189.488961085985,1842.7087675317682
905.0,681.920698514473,5274.731785379266,-4545.033039022058,-901.0609507144117,4595.2145872674155,-5199.246267336988,1842.7071043514816
910.0,649.5106933272309,5264.609694252576,-4561.534350232159,-933.2163476324454,4577.938095308165,-5208.852337973191,1842.70544261283
915.0,617.0817867853216,5254.334398189731,-4577.9029166405,-965.3445995680662,4560.528442307384,-5218.3068958151125,1842.703782268853
920.0,584.634922841594,5243.90619827305,-4594.13826370331,-997.4447724053164,4542.986136636741,-5227.6096681038825,1842.7021232717016
925.0,552.1710459468194,5233.3254000336065,-4610.23992077276,-1029.515932873709,4525.311690515834,-5236.760386508958,1842.7004655726955
930.0,519.6911010220499,5222.592313442048,-4626.207421110507,-1061.5571485753665,4507.50561999704,-5245.7587871356745,1842.6988091222772
935.0,487.19603343096236,5211.707252899292,-4642.040301901129,-1093.5674880122208,4489.5684449502,-5254.6046105327,1842.697153870072
